sNRV,sOR,sENC,sENS,sLS,sAX_MX,sAX_MN,sROUND,sSC,sPD,sNRL_mean,sNRL_sd,sNRL_ar,sNRL_rg,sNRL_ent,sNRL_zc,mMU,mMA,mMUA,Class
0.0953776106107097,0.85129517724491,0.933694775369993,0.643549808992066,2.94958699515801,153.642682299891,52.0895578099945,0.459260564584001,4.10749735012406,5.96495829446549,0.601914956093673,0.217385153464704,0.152220215383912,0.00528084679288129,4.17931526915579,2,2,2,4,1
0.109397542410825,0.847178919843106,0.937618223798914,0.559998851284408,2.50916659464478,122.374838264271,48.7711093099404,0.362798048650299,3.03934072210948,6.52814565050048,0.621254945465483,0.223894670901587,0.15213806984703,0.00587644919236779,4.20757226643143,4,2,3,5,1
0.0432948082920565,0.881399064922767,0.984960477533985,0.562236636522892,1.92327114281205,70.1809489340518,36.4904081238587,0.166902531005664,1.54717896402617,5.5269885313644,0.698552134024883,0.209556954003798,0.13093572177971,0.00849708502244134,4.09616084668402,2,2,2,4,0
0.0213344067626044,0.937066402378593,0.985702159472319,0.568832707880703,1.58490245636389,49.6613764210528,31.3340270384758,0.0763487384416238,0.643358213694547,3.11551639717524,0.852432231192558,0.103802348835469,0.054177898813936,0.00529386965307114,3.35388238125833,2,2,2,4,0
0.0483011796115882,0.807339749172618,1.05005992418893,0.50874038093595,2.786218610392,201.591275905228,72.353000282654,0.371844629473676,6.33000782170167,7.96278043020237,0.563305502165621,0.261424919462088,0.203280991002625,0.00424604779654352,4.33960114670587,2,2,2,4,0
0.0359615059935843,0.921738889581343,0.971118853244017,0.583713591197919,2.37075333334013,162.578088339707,68.5765516189962,0.279240270478666,2.01922757840311,3.36723679079388,0.692132744855663,0.18414441620076,0.115601517674592,0.0034620969677955,4.03431537883802,2,2,2,4,0
0.0593843447669305,0.875306383125626,0.929964346243547,0.634176339457299,1.85670215707176,127.41416514689,68.6239118436945,0.254584322532352,2.95806282056319,5.68653492871589,0.704982367000025,0.1966952610012,0.122583697110871,0.00431985895989194,4.01218514268548,2,2,4,6,0
0.0304206171980818,0.902821037643499,0.968008212759384,0.521950165395037,1.63074950365079,118.123315776448,72.4349849636641,0.13870190823244,2.22329411102986,4.61504397433708,0.742209995846224,0.184832011148693,0.111887323398947,0.0040428141832609,3.84863716586807,2,2,3,5,0
0.0487072721990898,0.886229819563153,0.96854370307409,0.475358164093638,2.13908819093576,58.3381340184234,27.2724304989514,0.228306349810485,1.19844449354533,5.10124724860982,0.836600607139692,0.109091215545716,0.0572497485242467,0.0052594359071222,3.4666916181453,2,1,2,3,0
0.0344955489614243,0.938909426987061,0.987230479380364,0.548389927173818,1.97974194581681,57.5979490426557,29.0936650427395,0.150734735070846,0.661104822152178,2.90555418663598,0.833386092687247,0.109092191578083,0.0577395836936337,0.0052413228349152,3.4752652609629,2,2,2,4,0
